customer_id,arrival,arrival in integer,minutes,service start,service_start,service end,service_end,waiting_time,service_time,total_time,server_id,turn-around_time
C1,12:00:00,720,0,12:00:00 PM,0,12:03:00 PM,3,0,3,3,1,3
C2,12:12:00,732,12,12:12:00 PM,12,12:16:00 PM,16,0,4,4,1,4
C3,12:13:00,733,13,12:16:00 PM,16,12:20:00 PM,20,3,4,7,1,7
C4,12:14:00,734,14,12:20:00 PM,20,12:24:00 PM,24,6,4,10,1,10
C5,12:27:00,747,27,12:27:00 PM,27,12:31:00 PM,31,0,4,4,1,4
C6,12:31:00,751,31,12:31:00 PM,31,12:34:00 PM,34,0,3,3,1,3
C7,12:31:00,751,31,12:34:00 PM,34,12:37:00 PM,37,3,3,6,1,6
C8,12:34:00,754,34,12:37:00 PM,37,12:41:00 PM,41,3,4,7,1,7
C9,12:39:00,759,39,12:41:00 PM,41,12:46:00 PM,46,2,5,7,1,7
C10,12:40:00,760,40,12:46:00 PM,46,12:50:00 PM,50,6,4,10,1,10
C11,12:40:00,760,40,12:50:00 PM,50,12:53:00 PM,53,10,3,13,1,13
C12,12:46:00,766,46,12:53:00 PM,53,12:57:00 PM,57,7,4,11,1,11
C13,12:48:00,768,48,12:57:00 PM,57,13:02:00 PM,62,9,5,14,1,14
C14,12:49:00,769,49,13:02:00 PM,62,13:06:00 PM,66,13,4,17,1,17
C15,12:49:00,769,49,13:06:00 PM,66,13:09:00 PM,69,17,3,20,1,20
C16,12:55:00,775,55,13:09:00 PM,69,13:13:00 PM,73,14,4,18,1,18
C17,12:58:00,778,58,13:13:00 PM,73,13:17:00 PM,77,15,4,19,1,19
C18,12:58:00,778,58,13:17:00 PM,77,13:19:00 PM,79,19,2,21,1,21
C19,13:00:00,780,60,13:19:00 PM,79,13:22:00 PM,82,19,3,22,1,22
C20,13:02:00,782,62,13:22:00 PM,82,13:23:00 PM,83,20,1,21,1,21
C21,13:04:00,784,64,13:23:00 PM,83,13:26:00 PM,86,19,3,22,1,22
C22,13:04:00,784,64,13:26:00 PM,86,13:28:00 PM,88,22,2,24,1,24
